epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,182.764,0.6724,0.6396,0.96051,0.96591,0.94308,0.98952,0.87115,0.55385,0.46849,0.91444,0.004159,0.004159,0.004159
61,185.688,0.66903,0.64351,0.95422,0.97228,0.93186,0.98278,0.85978,0.61631,0.49341,0.96596,0.00406,0.00406,0.00406
62,188.55,0.66264,0.62146,0.95536,0.95212,0.98467,0.98061,0.85445,0.61532,0.44429,0.94715,0.003961,0.003961,0.003961
63,191.715,0.6686,0.60087,0.95986,0.9838,0.99239,0.995,0.87566,0.53959,0.41816,0.91869,0.003862,0.003862,0.003862
64,194.513,0.63996,0.57218,0.95584,0.96656,0.94438,0.98668,0.86887,0.54354,0.46566,0.91938,0.003763,0.003763,0.003763
65,197.565,0.64274,0.60378,0.94393,0.96653,0.92059,0.97798,0.85986,0.5499,0.5294,0.91322,0.003664,0.003664,0.003664
66,200.43,0.66286,0.62524,0.96157,0.95935,0.96596,0.98731,0.86637,0.57494,0.44572,0.9286,0.003565,0.003565,0.003565
67,203.344,0.6584,0.62134,0.94533,0.99305,0.96962,0.995,0.88663,0.54614,0.41441,0.91054,0.003466,0.003466,0.003466
68,206.382,0.62706,0.57696,0.93899,0.99109,0.97349,0.99354,0.8963,0.53522,0.40154,0.91307,0.003367,0.003367,0.003367
69,209.53,0.62095,0.57554,0.93405,0.97711,0.97906,0.99407,0.88412,0.53565,0.39179,0.91162,0.003268,0.003268,0.003268
70,212.311,0.62999,0.57944,0.93772,0.96937,0.97,0.99354,0.88054,0.53719,0.41035,0.90104,0.003169,0.003169,0.003169
71,215.503,0.61993,0.57613,0.94014,0.973,0.96028,0.99136,0.88745,0.51777,0.40826,0.89759,0.00307,0.00307,0.00307
72,218.439,0.63011,0.58742,0.94238,0.98402,0.9746,0.99272,0.87046,0.55825,0.40098,0.90326,0.002971,0.002971,0.002971
73,221.323,0.62261,0.57358,0.93188,0.96767,0.98129,0.99354,0.88014,0.52937,0.37346,0.90282,0.002872,0.002872,0.002872
74,224.271,0.61094,0.54916,0.92512,0.98781,0.97468,0.994,0.89406,0.53179,0.38464,0.89324,0.002773,0.002773,0.002773
75,227.307,0.59609,0.55725,0.92116,0.99151,0.98271,0.995,0.89474,0.53545,0.36834,0.91346,0.002674,0.002674,0.002674
76,230.068,0.60807,0.55511,0.9277,0.97459,0.97955,0.99447,0.89252,0.52832,0.37999,0.9058,0.002575,0.002575,0.002575
77,233.219,0.60017,0.54412,0.93006,0.98469,0.9777,0.99407,0.89136,0.51156,0.36698,0.88921,0.002476,0.002476,0.002476
78,236.048,0.5959,0.52513,0.93069,0.98405,0.98552,0.995,0.90769,0.48831,0.34897,0.8795,0.002377,0.002377,0.002377
79,238.933,0.58155,0.53142,0.92352,0.98275,0.97648,0.99253,0.90337,0.48093,0.3484,0.88733,0.002278,0.002278,0.002278
80,241.917,0.58491,0.52932,0.9214,0.97257,0.98743,0.99464,0.89377,0.49397,0.36009,0.89474,0.002179,0.002179,0.002179
81,244.845,0.59053,0.52753,0.92509,0.97742,0.98208,0.99407,0.90198,0.48899,0.35138,0.87668,0.00208,0.00208,0.00208
82,247.624,0.57684,0.52433,0.91828,0.97966,0.98455,0.99425,0.89743,0.50343,0.35205,0.89406,0.001981,0.001981,0.001981
83,250.847,0.56419,0.50464,0.9171,0.99332,0.98403,0.995,0.91138,0.46834,0.3424,0.8777,0.001882,0.001882,0.001882
84,253.65,0.57907,0.5184,0.92288,0.99087,0.9746,0.99354,0.90472,0.4882,0.34874,0.89377,0.001783,0.001783,0.001783
85,256.777,0.55704,0.5083,0.90562,0.98846,0.97954,0.99447,0.90447,0.47795,0.33005,0.89439,0.001684,0.001684,0.001684
86,259.981,0.56298,0.53639,0.92753,0.97462,0.99153,0.99447,0.89753,0.50793,0.3407,0.88397,0.001585,0.001585,0.001585
87,262.932,0.56305,0.50869,0.92555,0.96484,0.98226,0.99354,0.91134,0.46194,0.32754,0.87801,0.001486,0.001486,0.001486
88,265.929,0.5436,0.47785,0.9081,0.98375,0.97687,0.99447,0.91906,0.46186,0.32192,0.87637,0.001387,0.001387,0.001387
